CVE_GEO,ENTIDAD_FEDERATIVA,ABREVIATURA,poblacion,casos confirmados,tasa de casos
9,CIUDAD DE MÉXICO,DF,9018645,146952,1629.424375834729
3,BAJA CALIFORNIA SUR,BS,804708,11578,1438.7827634371722
27,TABASCO,TC,2572287,33587,1305.7252165096663
26,SONORA,SR,3074745,36414,1184.293331642136
5,COAHUILA DE ZARAGOZA,CL,3218720,30211,938.602922901029
24,SAN LUIS POTOSÍ,SP,2866142,26190,913.7718926696583
31,YUCATÁN,YN,2259098,20318,899.3855069589721
19,NUEVO LEÓN,NL,5610153,47793,851.9019000016576
28,TAMAULIPAS,TS,3650602,30828,844.4634610949098
6,COLIMA,CM,785153,6113,778.5743670341958
23,QUINTANA ROO,QR,1723259,13028,756.0093984711526
11,GUANAJUATO,GT,6228175,44965,721.961088119714
25,SINALOA,SL,3156674,20779,658.2561265433175
4,CAMPECHE,CC,1000617,6336,633.209309855819
2,BAJA CALIFORNIA,BC,3634868,21767,598.8388023994269
10,DURANGO,DG,1868996,11126,595.2928738210247
29,TLAXCALA,TL,1380011,8156,591.0097818060871
1,AGUASCALIENTES,AS,1434635,8406,585.9330073503016
12,GUERRERO,GR,3657048,21206,579.8666027900099
32,ZACATECAS,ZS,1666426,9342,560.6009507772923
15,MÉXICO,MC,17427790,91571,525.4309353050502
21,PUEBLA,PL,6604451,33942,513.9261385995595
18,NAYARIT,NT,1288571,6480,502.88265062615875
22,QUERÉTARO,QT,2279637,11425,501.1762837679859
20,OAXACA,OC,4143593,19831,478.59430209482446
16,MICHOACÁN DE OCAMPO,MN,4825401,23094,478.5923491125401
13,HIDALGO,HG,3086414,14552,471.4856788493054
30,VERACRUZ DE IGNACIO DE LA LLAVE,VZ,8539862,35818,419.4212974401694
8,CHIHUAHUA,CH,3801487,14366,377.904751482775
14,JALISCO,JC,8409693,31093,369.72812206105505
17,MORELOS,MS,2044058,6532,319.5604038632955
7,CHIAPAS,CS,5730367,7428,129.6252055060348
